Graph 0 Vol_Buy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,300197.93,300229.52,300687.94,374114.37,374407.92,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 1 Tot_Buy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-6483220.16,-6351348.68,-6340148.34,-7645367.01,-7667367.47,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 2 UnitBuy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-21.6,-21.15,-21.09,-20.44,-20.48,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 3 Vol_Sell
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 4 Tot_Sell
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 5 UnitSell
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 6 Penalty
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-3017662.86,-3010018.54,-2972049.53,-3550185.75,-3570106.73,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 7 Profit
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-6483220.16,-6351348.68,-6340148.34,-7645367.01,-7667367.47,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 8 Net
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-9500883.02,-9361367.22,-9312197.87,-1.119555276E7,-1.12374742E7,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 9 PercBuy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,89.34,89.35,89.49,111.34,111.43,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
