Graph 0 Vol_Buy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,248944.65,6679.89,162805.38,672182.77,666356.33,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 1 Tot_Buy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-6391576.36,-191169.97,-4194891.52,-1.63048158E7,-1.624336408E7,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 2 UnitBuy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-25.67,-28.62,-25.77,-24.26,-24.38,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 3 Vol_Sell
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 4 Tot_Sell
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 5 UnitSell
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 6 Penalty
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-3.572800717E7,-5.612656481E7,-4.293214672E7,-6199764.25,-6667700.9,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 7 Profit
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-6391576.36,-191169.97,-4194891.52,-1.63048158E7,-1.624336408E7,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 8 Net
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-4.211958353E7,-5.631773477E7,-4.712703823E7,-2.250458005E7,-2.291106499E7,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 9 PercBuy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,37.05,0.99,24.23,100.03,99.16,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
