Graph 0 Vol_Buy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,166475.36,164735.1,166652.68,195075.14,195002.4,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 1 Tot_Buy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-3551642.09,-3483268.58,-3498694.01,-4106553.51,-4107131.6,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 2 UnitBuy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-21.33,-21.14,-20.99,-21.05,-21.06,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 3 Vol_Sell
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 4 Tot_Sell
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 5 UnitSell
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 6 Penalty
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-125604.46,-266516.42,-112272.87,-2452909.11,-2447279.96,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 7 Profit
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-3551642.09,-3483268.58,-3498694.01,-4106553.51,-4107131.6,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 8 Net
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-3677246.56,-3749784.99,-3610966.88,-6559462.62,-6554411.56,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
Graph 9 PercBuy
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,99.09,98.06,99.2,116.12,116.07,
1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,
