Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,SPOT,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,varMCTSAgent10000,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,,
1,1,100,"	168",10,ZI,319717.04,-6618892.83,-20.7,0,0,0,-1372188.68,-6618892.83,-7991081.51,95.15,ZIP,312292.38,-6397122.89,-20.48,0,0,0,-1978963.23,-6397122.89,-8376086.11,92.94,SPOT,303072.77,-6247666.33,-20.61,0,0,0,-2781138.63,-6247666.33,-9028804.96,90.2,MCTSX,364599.43,-7627878.52,-20.92,13112.43,294961.61,22.49,-4495640.47,-7332916.92,-11828557.39,108.51,varMCTSAgent10000,372177.59,-7665708.5,-20.6,5560,138993.54,25,-3930227.38,-7526714.96,-11456942.33,110.77,Mean Clearing Price,22.37854675
2,1,100,"	168",10,ZI,311418.75,-6579725.92,-21.13,0,0,0,-2076865.51,-6579725.92,-8656591.43,92.68,ZIP,314571.76,-6448172.68,-20.5,0,0,0,-1785413.75,-6448172.68,-8233586.43,93.62,SPOT,301453.5,-6250578.56,-20.73,0,0,0,-2898890.75,-6250578.56,-9149469.32,89.72,MCTSX,368621.05,-7666252.67,-20.8,11770.25,277042.84,23.54,-4614919.17,-7389209.83,-12004129,109.71,varMCTSAgent10000,374126.96,-7665810.7,-20.49,4358.36,92587.6,21.24,-3632613.78,-7573223.09,-11205836.87,111.35,Mean Clearing Price,22.2551536
3,1,100,"	168",10,ZI,308367.5,-6455781.37,-20.94,0,0,0,-2361939.03,-6455781.37,-8817720.4,91.78,ZIP,319387.14,-6506045.19,-20.37,0,0,0,-1416383.83,-6506045.19,-7922429.02,95.06,SPOT,303635.55,-6297309.37,-20.74,0,0,0,-2727611.18,-6297309.37,-9024920.55,90.37,MCTSX,369915.51,-7776535.14,-21.02,15826.47,348780.94,22.04,-4756192.3,-7427754.2,-12183946.51,110.09,varMCTSAgent10000,372279.74,-7617788.33,-20.46,4320,84303.11,19.51,-3871906.86,-7533485.22,-11405392.08,110.8,Mean Clearing Price,22.30875169
4,1,100,"	168",10,ZI,308626.69,-6512579.54,-21.1,0,0,0,-2288873.28,-6512579.54,-8801452.82,91.85,ZIP,313404.32,-6363675.6,-20.31,0,0,0,-1881457.38,-6363675.6,-8245132.98,93.28,SPOT,310209.69,-6350589.83,-20.47,0,0,0,-2156876.77,-6350589.83,-8507466.6,92.32,MCTSX,363394.45,-7678468.53,-21.13,13581.1,281364.71,20.72,-4913252.74,-7397103.82,-12310356.55,108.15,varMCTSAgent10000,377313.85,-7683568.27,-20.36,4520,89446.26,19.79,-3962944.09,-7594122.01,-11557066.1,112.3,Mean Clearing Price,22.14043502
5,1,100,"	168",10,ZI,309868.75,-6482675.85,-20.92,0,0,0,-2173000.97,-6482675.85,-8655676.82,92.22,ZIP,315960.45,-6414357.02,-20.3,0,0,0,-1670313.37,-6414357.02,-8084670.39,94.04,SPOT,308507.16,-6375162.36,-20.66,0,0,0,-2317143.35,-6375162.36,-8692305.71,91.82,MCTSX,361169.2,-7632919.11,-21.13,10610.62,218739.53,20.62,-4839692.77,-7414179.58,-12253872.35,107.49,varMCTSAgent10000,377185.65,-7749354.13,-20.55,5240.66,101315.68,19.33,-4247187.13,-7648038.45,-11895225.58,112.26,Mean Clearing Price,22.53641669
6,1,100,"	168",10,ZI,315518.7,-6526042.85,-20.68,0,0,0,-1722488.36,-6526042.85,-8248531.21,93.9,ZIP,315664.98,-6435797.61,-20.39,0,0,0,-1714178.77,-6435797.61,-8149976.38,93.95,SPOT,306695.44,-6351151.23,-20.71,0,0,0,-2460981.15,-6351151.23,-8812132.38,91.28,MCTSX,367961.51,-7745947.72,-21.05,13778.81,277984.93,20.17,-4692858,-7467962.78,-12160820.78,109.51,varMCTSAgent10000,369966.88,-7606339.38,-20.56,6107.29,112967.36,18.5,-4611958.78,-7493372.02,-12105330.8,110.11,Mean Clearing Price,22.39465112
7,1,100,"	168",10,ZI,317857.14,-6638372.39,-20.88,0,0,0,-1528746.87,-6638372.39,-8167119.26,94.6,ZIP,309929.39,-6388747.15,-20.61,0,0,0,-2219790.76,-6388747.15,-8608537.92,92.24,SPOT,300284.82,-6242397.28,-20.79,0,0,0,-3023198.27,-6242397.28,-9265595.55,89.37,MCTSX,375496.55,-7815640.06,-20.81,15022.74,333043.6,22.17,-4455506.37,-7482596.46,-11938102.83,111.75,varMCTSAgent10000,373266.02,-7730698.41,-20.71,5335.56,125261.47,23.48,-3917396.7,-7605436.94,-11522833.64,111.09,Mean Clearing Price,22.31442864
8,1,100,"	168",10,ZI,313838.62,-6561848.46,-20.91,0,0,0,-1862858.54,-6561848.46,-8424707,93.4,ZIP,314921.56,-6442507.82,-20.46,0,0,0,-1761203.03,-6442507.82,-8203710.85,93.73,SPOT,305249.88,-6318062.29,-20.7,0,0,0,-2575723.09,-6318062.29,-8893785.38,90.85,MCTSX,364502.41,-7623560.22,-20.91,14542.39,298225.55,20.51,-4449909.35,-7325334.67,-11775244.02,108.48,varMCTSAgent10000,373458,-7682563.2,-20.57,4498.31,93338.78,20.75,-3942611.66,-7589224.42,-11531836.08,111.15,Mean Clearing Price,22.37583656
9,1,100,"	168",10,ZI,321291.28,-6650018.3,-20.7,0,0,0,-1243234.68,-6650018.3,-7893252.98,95.62,ZIP,316207.25,-6453441.51,-20.41,0,0,0,-1668168.05,-6453441.51,-8121609.56,94.11,SPOT,301997.14,-6268491.29,-20.76,0,0,0,-2852685.91,-6268491.29,-9121177.2,89.88,MCTSX,363019.84,-7757162.99,-21.37,14761.31,318114.34,21.55,-5232473.55,-7439048.65,-12671522.2,108.04,varMCTSAgent10000,376399.21,-7678049.11,-20.4,6120,136245.77,22.26,-3602214.94,-7541803.35,-11144018.28,112.02,Mean Clearing Price,22.44477709
10,1,100,"	168",10,ZI,307074.09,-6420197.62,-20.91,0,0,0,-2402001.26,-6420197.62,-8822198.88,91.39,ZIP,313405.91,-6447424.41,-20.57,0,0,0,-1898682.98,-6447424.41,-8346107.39,93.28,SPOT,305719.7,-6348892.58,-20.77,0,0,0,-2540833.95,-6348892.58,-8889726.53,90.99,MCTSX,376114.11,-7875224.87,-20.94,14308.4,278242.88,19.45,-4770203.4,-7596982,-12367185.4,111.94,varMCTSAgent10000,377669.17,-7711001.55,-20.42,7001.58,141860.19,20.26,-4105699.57,-7569141.36,-11674840.93,112.4,Mean Clearing Price,22.2555663
11,1,100,"	168",10,ZI,313759.98,-6554976.12,-20.89,0,0,0,-1885731.62,-6554976.12,-8440707.74,93.38,ZIP,311382.59,-6438419.27,-20.68,0,0,0,-2084672.58,-6438419.27,-8523091.85,92.67,SPOT,304543.19,-6321377.57,-20.76,0,0,0,-2646491.05,-6321377.57,-8967868.62,90.64,MCTSX,370262.61,-7717585.31,-20.84,15350.5,334586.07,21.8,-4345847.25,-7382999.24,-11728846.49,110.2,varMCTSAgent10000,372734.11,-7669967.45,-20.58,2726.2,53157.61,19.5,-4014775.31,-7616809.84,-11631585.15,110.93,Mean Clearing Price,22.40233505
12,1,100,"	168",10,ZI,314778.68,-6563829.06,-20.85,0,0,0,-1759867.17,-6563829.06,-8323696.23,93.68,ZIP,309993.62,-6410315.8,-20.68,0,0,0,-2137329.27,-6410315.8,-8547645.07,92.26,SPOT,302851.87,-6281777.57,-20.74,0,0,0,-2763319.84,-6281777.57,-9045097.41,90.13,MCTSX,368403.39,-7761315.73,-21.07,15961.1,341128.11,21.37,-4794799.98,-7420187.62,-12214987.6,109.64,varMCTSAgent10000,378005.2,-7677060.57,-20.31,3120,70410.39,22.57,-3878261.45,-7606650.18,-11484911.63,112.5,Mean Clearing Price,22.31125533
13,1,100,"	168",10,ZI,309146.59,-6471911.39,-20.93,0,0,0,-2251645.59,-6471911.39,-8723556.98,92.01,ZIP,320193.67,-6470647.31,-20.21,0,0,0,-1288501.02,-6470647.31,-7759148.33,95.3,SPOT,306124.19,-6279842.71,-20.51,0,0,0,-2494480.51,-6279842.71,-8774323.23,91.11,MCTSX,373438.96,-7830272.13,-20.97,13627.92,296715.38,21.77,-4986221.86,-7533556.75,-12519778.61,111.14,varMCTSAgent10000,364431.06,-7504032.51,-20.59,4881.44,103547.81,21.21,-4151136.5,-7400484.71,-11551621.21,108.46,Mean Clearing Price,22.39746032
14,1,100,"	168",10,ZI,312009.48,-6549786.86,-20.99,0,0,0,-2003485.47,-6549786.86,-8553272.33,92.86,ZIP,312131.01,-6390065.47,-20.47,0,0,0,-1989228.91,-6390065.47,-8379294.38,92.9,SPOT,307613.97,-6334156.66,-20.59,0,0,0,-2358631.13,-6334156.66,-8692787.79,91.55,MCTSX,364018.04,-7673878.22,-21.08,12357.19,265916.39,21.52,-4756708.32,-7407961.83,-12164670.15,108.34,varMCTSAgent10000,374738.54,-7639019.74,-20.38,4600,90571.24,19.69,-3914276.29,-7548448.49,-11462724.78,111.53,Mean Clearing Price,22.31918714
15,1,100,"	168",10,ZI,318414.32,-6660391.05,-20.92,0,0,0,-1467219.44,-6660391.05,-8127610.49,94.77,ZIP,307896.74,-6386165.95,-20.74,0,0,0,-2337223.78,-6386165.95,-8723389.73,91.64,SPOT,301797.25,-6306038.17,-20.89,0,0,0,-2861420.41,-6306038.17,-9167458.58,89.82,MCTSX,368954.56,-7707816.27,-20.89,13075.47,276334.15,21.13,-4407765.5,-7431482.11,-11839247.62,109.81,varMCTSAgent10000,378561.15,-7756519.46,-20.49,5905,135466.11,22.94,-3600904.68,-7621053.35,-11221958.03,112.67,Mean Clearing Price,22.33231554
16,1,100,"	168",10,ZI,303558.27,-6480835.01,-21.35,0,0,0,-2744575.63,-6480835.01,-9225410.63,90.34,ZIP,317620.62,-6503762.17,-20.48,0,0,0,-1542979.16,-6503762.17,-8046741.33,94.53,SPOT,305957.6,-6312893.46,-20.63,0,0,0,-2527416.94,-6312893.46,-8840310.39,91.06,MCTSX,370531.92,-7693400.34,-20.76,12405,271944.65,21.92,-4629572.51,-7421455.69,-12051028.2,110.28,varMCTSAgent10000,377297.94,-7652263.11,-20.28,6489,122941.82,18.95,-4175234.34,-7529321.29,-11704555.63,112.29,Mean Clearing Price,22.13273653
17,1,100,"	168",10,ZI,312512.61,-6582475.15,-21.06,0,0,0,-1968322.04,-6582475.15,-8550797.18,93.01,ZIP,312427.57,-6422577.97,-20.56,0,0,0,-2004143.27,-6422577.97,-8426721.24,92.98,SPOT,307155.01,-6324264.62,-20.59,0,0,0,-2443219.17,-6324264.62,-8767483.79,91.42,MCTSX,367862.84,-7665252.34,-20.84,12127.07,258342.72,21.3,-4903713.52,-7406909.62,-12310623.14,109.48,varMCTSAgent10000,373076.06,-7580330.43,-20.32,3880,85022.48,21.91,-4163091.46,-7495307.95,-11658399.41,111.03,Mean Clearing Price,22.40559489
18,1,100,"	168",10,ZI,311501.61,-6402417.64,-20.55,0,0,0,-2045160.57,-6402417.64,-8447578.21,92.71,ZIP,315484.31,-6495690.17,-20.59,0,0,0,-1725740.8,-6495690.17,-8221430.97,93.89,SPOT,302790.01,-6277726.83,-20.73,0,0,0,-2783924.13,-6277726.83,-9061650.95,90.12,MCTSX,371006.8,-7785630.85,-20.99,13656.04,268187.14,19.64,-4521291.37,-7517443.71,-12038735.08,110.42,varMCTSAgent10000,374068.89,-7612646.1,-20.35,4635.37,97028.93,20.93,-3732711.8,-7515617.17,-11248328.97,111.33,Mean Clearing Price,22.248647
19,1,100,"	168",10,ZI,313285.88,-6568556,-20.97,0,0,0,-1886801.82,-6568556,-8455357.81,93.24,ZIP,315707.23,-6457986.5,-20.46,0,0,0,-1708040.44,-6457986.5,-8166026.94,93.96,SPOT,303049.22,-6292060.88,-20.76,0,0,0,-2762294.47,-6292060.88,-9054355.35,90.19,MCTSX,364656.62,-7686977.69,-21.08,14728.8,301152.53,20.45,-4960267.19,-7385825.15,-12346092.34,108.53,varMCTSAgent10000,377099.95,-7710195.31,-20.45,3760,81183.35,21.59,-4109151.89,-7629011.97,-11738163.86,112.23,Mean Clearing Price,22.35863409
20,1,100,"	168",10,ZI,315739.85,-6522876.78,-20.66,0,0,0,-1720874.48,-6522876.78,-8243751.26,93.97,ZIP,316140.63,-6469857.58,-20.47,0,0,0,-1684671.22,-6469857.58,-8154528.8,94.09,SPOT,306976.83,-6326558.21,-20.61,0,0,0,-2449708.64,-6326558.21,-8776266.85,91.36,MCTSX,361216.1,-7593416.94,-21.02,13096.28,289918.99,22.14,-4903780.93,-7303497.95,-12207278.88,107.5,varMCTSAgent10000,373989.12,-7658192.72,-20.48,6120,138224.41,22.59,-4205317.4,-7519968.31,-11725285.71,111.31,Mean Clearing Price,22.44851233
21,1,100,"	168",10,ZI,306995.73,-6426528.85,-20.93,0,0,0,-2411678.89,-6426528.85,-8838207.74,91.37,ZIP,316129.59,-6467173.38,-20.46,0,0,0,-1655749.15,-6467173.38,-8122922.53,94.09,SPOT,303415.95,-6286159,-20.72,0,0,0,-2726830.73,-6286159,-9012989.73,90.3,MCTSX,372416.6,-7694636.49,-20.66,10854.44,235709.93,21.72,-4824964.2,-7458926.56,-12283890.76,110.84,varMCTSAgent10000,375967.63,-7751576.26,-20.62,5000,101802.06,20.36,-3790770.67,-7649774.2,-11440544.86,111.9,Mean Clearing Price,22.26249751
22,1,100,"	168",10,ZI,315866.32,-6572050.12,-20.81,0,0,0,-1696274.39,-6572050.12,-8268324.51,94.01,ZIP,317493.05,-6481093.74,-20.41,0,0,0,-1541991.48,-6481093.74,-8023085.22,94.49,SPOT,304310.09,-6298761.81,-20.7,0,0,0,-2664863,-6298761.81,-8963624.82,90.57,MCTSX,362029.05,-7617517.18,-21.04,14682.85,304390.26,20.73,-5230213.72,-7313126.93,-12543340.65,107.75,varMCTSAgent10000,375326.78,-7691502,-20.49,3920,69437.12,17.71,-4005242.34,-7622064.89,-11627307.22,111.7,Mean Clearing Price,22.40344676
23,1,100,"	168",10,ZI,305726.17,-6348409.28,-20.77,0,0,0,-2514089.62,-6348409.28,-8862498.9,90.99,ZIP,312849.43,-6432922.81,-20.56,0,0,0,-1962406.75,-6432922.81,-8395329.56,93.11,SPOT,304685.76,-6296774.79,-20.67,0,0,0,-2612024.79,-6296774.79,-8908799.58,90.68,MCTSX,377347.98,-7892975.72,-20.92,12617.07,289150.46,22.92,-4254736.32,-7603825.26,-11858561.58,112.31,varMCTSAgent10000,372868.53,-7649204.01,-20.51,5160,102467.52,19.86,-4149398.22,-7546736.49,-11696134.71,110.97,Mean Clearing Price,22.21950088
24,1,100,"	168",10,ZI,310155.84,-6491079.12,-20.93,0,0,0,-2176434.12,-6491079.12,-8667513.23,92.31,ZIP,312049.5,-6415496.89,-20.56,0,0,0,-2016728.66,-6415496.89,-8432225.55,92.87,SPOT,307042.73,-6350580.13,-20.68,0,0,0,-2420737.32,-6350580.13,-8771317.45,91.38,MCTSX,367943.09,-7664085.65,-20.83,13497.11,316142.82,23.42,-4436399.84,-7347942.84,-11784342.68,109.51,varMCTSAgent10000,374756.81,-7710405.96,-20.57,2482.85,48349.56,19.47,-4004294.73,-7662056.4,-11666351.13,111.53,Mean Clearing Price,22.2563018
25,1,100,"	168",10,ZI,307273.89,-6438416.52,-20.95,0,0,0,-2416183.07,-6438416.52,-8854599.6,91.45,ZIP,315209.76,-6459216.33,-20.49,0,0,0,-1751766.4,-6459216.33,-8210982.73,93.81,SPOT,305158.36,-6300013.22,-20.65,0,0,0,-2591975.35,-6300013.22,-8891988.57,90.82,MCTSX,372396.26,-7727911.12,-20.75,11433.99,242643.62,21.22,-4527280.3,-7485267.49,-12012547.79,110.83,varMCTSAgent10000,370603.81,-7554794.33,-20.39,5086.02,95410.26,18.76,-4208866.57,-7459384.07,-11668250.64,110.3,Mean Clearing Price,22.27043524
26,1,100,"	168",10,ZI,307798.29,-6427068.16,-20.88,0,0,0,-2343427.23,-6427068.16,-8770495.39,91.61,ZIP,314867.2,-6475988.23,-20.57,0,0,0,-1789448.52,-6475988.23,-8265436.76,93.71,SPOT,306714.62,-6359113.2,-20.73,0,0,0,-2459181.93,-6359113.2,-8818295.13,91.28,MCTSX,366862.72,-7664633.53,-20.89,12475.41,253905.03,20.35,-4445303.09,-7410728.5,-11856031.58,109.19,varMCTSAgent10000,374686.97,-7649780.83,-20.42,4280,80299.89,18.76,-3940198.19,-7569480.94,-11509679.13,111.51,Mean Clearing Price,22.33819304
27,1,100,"	168",10,ZI,316442.55,-6617825.62,-20.91,0,0,0,-1669929.89,-6617825.62,-8287755.51,94.18,ZIP,314856.61,-6455611.77,-20.5,0,0,0,-1796963.36,-6455611.77,-8252575.13,93.71,SPOT,302972.57,-6291764.8,-20.77,0,0,0,-2792319.53,-6291764.8,-9084084.33,90.17,MCTSX,369014.14,-7674453.17,-20.8,11451.4,251830.95,21.99,-4508720.75,-7422622.22,-11931342.97,109.83,varMCTSAgent10000,368833.99,-7592533.36,-20.59,5593.5,107895.37,19.29,-4014250.95,-7484637.99,-11498888.94,109.77,Mean Clearing Price,22.34321929
28,1,100,"	168",10,ZI,317102.97,-6591921.01,-20.79,0,0,0,-1593426.82,-6591921.01,-8185347.84,94.38,ZIP,316393.47,-6474829.39,-20.46,0,0,0,-1626991.8,-6474829.39,-8101821.19,94.16,SPOT,301955.21,-6251210.64,-20.7,0,0,0,-2845758.03,-6251210.64,-9096968.67,89.87,MCTSX,365637.92,-7641886.74,-20.9,13997.79,292717.83,20.91,-4502050.56,-7349168.91,-11851219.47,108.82,varMCTSAgent10000,368610.54,-7564925.42,-20.52,3360,62233.68,18.52,-3907581.44,-7502691.74,-11410273.18,109.71,Mean Clearing Price,22.45211736
29,1,100,"	168",10,ZI,307724.76,-6443000.54,-20.94,0,0,0,-2347435.78,-6443000.54,-8790436.32,91.58,ZIP,314689.92,-6448324.26,-20.49,0,0,0,-1776306.6,-6448324.26,-8224630.86,93.66,SPOT,307602.65,-6315080.59,-20.53,0,0,0,-2376708.53,-6315080.59,-8691789.12,91.55,MCTSX,368432.88,-7641642.46,-20.74,11732.08,232842.62,19.85,-4537121.75,-7408799.84,-11945921.59,109.65,varMCTSAgent10000,372080.15,-7640856.58,-20.54,4920,91873.22,18.67,-4000059.76,-7548983.36,-11549043.12,110.74,Mean Clearing Price,22.42548629
30,1,100,"	168",10,ZI,304077.89,-6401982.31,-21.05,0,0,0,-2668643.78,-6401982.31,-9070626.09,90.5,ZIP,316488.14,-6491277.33,-20.51,0,0,0,-1603158.75,-6491277.33,-8094436.08,94.19,SPOT,303226.01,-6276976.67,-20.7,0,0,0,-2735187.13,-6276976.67,-9012163.8,90.25,MCTSX,374512.87,-7908481.4,-21.12,13101.11,288763.1,22.04,-4159802.02,-7619718.3,-11779520.32,111.46,varMCTSAgent10000,376420.64,-7686176.31,-20.42,5748.99,107528,18.7,-4027990.37,-7578648.31,-11606638.68,112.03,Mean Clearing Price,22.31260234
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,SPOT,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,varMCTSAgent10000,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,,
1,1,1000,"	168",10,ZI,309457.43,-6515976.59,-21.06,0,0,0,-2246934.66,-6515976.59,-8762911.25,92.1,ZIP,311749.04,-6419522.55,-20.59,0,0,0,-2034645.35,-6419522.55,-8454167.9,92.78,SPOT,299869.16,-6224582.74,-20.76,0,0,0,-3038470.14,-6224582.74,-9263052.88,89.25,MCTSX,368909.75,-7636196.89,-20.7,4520,96832.51,21.42,-3941321.24,-7539364.38,-11480685.62,109.79,varMCTSAgent10000,371626.58,-7619698.5,-20.5,4482.44,85277.1,19.02,-4103605.06,-7534421.4,-11638026.46,110.6,Mean Clearing Price,22.20375742
2,1,1000,"	168",10,ZI,297652.36,-6351078.62,-21.34,0,0,0,-3232918.28,-6351078.62,-9583996.9,88.59,ZIP,310814.44,-6441427.87,-20.72,0,0,0,-2132802.72,-6441427.87,-8574230.59,92.5,SPOT,304861.69,-6289653.34,-20.63,0,0,0,-2605565.38,-6289653.34,-8895218.72,90.73,MCTSX,376828.08,-7722446.98,-20.49,5400,117945.6,21.84,-3622786.55,-7604501.38,-11227287.93,112.15,varMCTSAgent10000,373008.59,-7580605.71,-20.32,4900,91119.36,18.6,-3574819.61,-7489486.35,-11064305.96,111.01,Mean Clearing Price,21.82951537
3,1,1000,"	168",10,ZI,307078.06,-6513573.83,-21.21,0,0,0,-2467496.08,-6513573.83,-8981069.92,91.39,ZIP,317106.67,-6518134.54,-20.56,0,0,0,-1607515.85,-6518134.54,-8125650.39,94.38,SPOT,297518.48,-6209685.26,-20.87,0,0,0,-3241823.12,-6209685.26,-9451508.38,88.55,MCTSX,368973.9,-7665047.36,-20.77,6617.57,134050.53,20.26,-4086666.45,-7530996.83,-11617663.28,109.81,varMCTSAgent10000,373311.35,-7655391.81,-20.51,3376.38,72237.1,21.39,-3732709.58,-7583154.71,-11315864.3,111.1,Mean Clearing Price,22.3353377
4,1,1000,"	168",10,ZI,304042.83,-6380740.41,-20.99,0,0,0,-2699725.06,-6380740.41,-9080465.47,90.49,ZIP,312505,-6403654.9,-20.49,0,0,0,-1948668.79,-6403654.9,-8352323.7,93.01,SPOT,300513.47,-6228235.89,-20.73,0,0,0,-2971739.73,-6228235.89,-9199975.62,89.44,MCTSX,373051.98,-7670327.21,-20.56,5200,93959.83,18.07,-4261987.1,-7576367.38,-11838354.48,111.03,varMCTSAgent10000,370788.16,-7612615.58,-20.53,3705.22,80907.71,21.84,-3909926.81,-7531707.87,-11441634.68,110.35,Mean Clearing Price,22.17041768
5,1,1000,"	168",10,ZI,311541.43,-6528982.56,-20.96,0,0,0,-2025018.69,-6528982.56,-8554001.25,92.72,ZIP,313396.54,-6462084.9,-20.62,0,0,0,-1899440.83,-6462084.9,-8361525.73,93.27,SPOT,303661.87,-6318979.87,-20.81,0,0,0,-2709395,-6318979.87,-9028374.87,90.38,MCTSX,366303.13,-7610778.63,-20.78,6185.28,122634.26,19.83,-4286362.78,-7488144.37,-11774507.15,109.02,varMCTSAgent10000,373916.26,-7691000.09,-20.57,6560,127074.89,19.37,-4107446.94,-7563925.2,-11671372.14,111.28,Mean Clearing Price,22.18065743
6,1,1000,"	168",10,ZI,307487.28,-6442958.77,-20.95,0,0,0,-2374812.25,-6442958.77,-8817771.02,91.51,ZIP,307879.85,-6408799.79,-20.82,0,0,0,-2384432.28,-6408799.79,-8793232.07,91.63,SPOT,301258.66,-6254711,-20.76,0,0,0,-2939318.94,-6254711,-9194029.94,89.66,MCTSX,374651.52,-7711869.6,-20.58,6040,105733.33,17.51,-4092602.54,-7606136.27,-11698738.81,111.5,varMCTSAgent10000,376552.16,-7650739.73,-20.32,5560,109302.05,19.66,-3999986.55,-7541437.68,-11541424.22,112.07,Mean Clearing Price,22.16624147
7,1,1000,"	168",10,ZI,311315.33,-6565478.65,-21.09,0,0,0,-2074180.82,-6565478.65,-8639659.46,92.65,ZIP,306584.88,-6304992.36,-20.57,0,0,0,-2482685.41,-6304992.36,-8787677.77,91.25,SPOT,302412.85,-6277895.74,-20.76,0,0,0,-2853630.79,-6277895.74,-9131526.53,90,MCTSX,372584.59,-7746700.97,-20.79,5603.48,117654.28,21,-4140940.26,-7629046.68,-11769986.94,110.89,varMCTSAgent10000,370754.45,-7581641.16,-20.45,2920,61517.33,21.07,-3805277.71,-7520123.83,-11325401.53,110.34,Mean Clearing Price,22.10305491
8,1,1000,"	168",10,ZI,302343.39,-6357700.17,-21.03,0,0,0,-2818372.41,-6357700.17,-9176072.57,89.98,ZIP,308866.98,-6382543.95,-20.66,0,0,0,-2275966.43,-6382543.95,-8658510.37,91.92,SPOT,302278.52,-6309548.27,-20.87,0,0,0,-2828189.92,-6309548.27,-9137738.18,89.96,MCTSX,379897.01,-7706946.04,-20.29,4880,100762.87,20.65,-3753962.41,-7606183.17,-11360145.57,113.06,varMCTSAgent10000,370210.74,-7631639.88,-20.61,5280,90210.93,17.09,-3946901.26,-7541428.95,-11488330.21,110.18,Mean Clearing Price,21.90425092
9,1,1000,"	168",10,ZI,306839.36,-6541412.54,-21.32,0,0,0,-2446097.22,-6541412.54,-8987509.76,91.32,ZIP,308471.24,-6326275.93,-20.51,0,0,0,-2301966.17,-6326275.93,-8628242.1,91.81,SPOT,304406.31,-6246209.68,-20.52,0,0,0,-2654336.4,-6246209.68,-8900546.08,90.6,MCTSX,372234.53,-7627152.88,-20.49,4407.59,86247.79,19.57,-3885117.23,-7540905.1,-11426022.33,110.78,varMCTSAgent10000,373858.95,-7708598.3,-20.62,6329.84,137104.03,21.66,-4073297.48,-7571494.26,-11644791.74,111.27,Mean Clearing Price,22.03681615
10,1,1000,"	168",10,ZI,307492.37,-6503107.25,-21.15,0,0,0,-2385960.04,-6503107.25,-8889067.29,91.52,ZIP,314569.06,-6428793.66,-20.44,0,0,0,-1791762.32,-6428793.66,-8220555.99,93.62,SPOT,303188.45,-6275215.63,-20.7,0,0,0,-2748238.91,-6275215.63,-9023454.54,90.23,MCTSX,368270.99,-7577637.12,-20.58,4364.36,73386.07,16.81,-3915773.62,-7504251.05,-11420024.67,109.6,varMCTSAgent10000,369888.76,-7607179.79,-20.57,5720,103800.43,18.15,-3943226.45,-7503379.36,-11446605.81,110.09,Mean Clearing Price,22.06900841
11,1,1000,"	168",10,ZI,308913.79,-6435513.24,-20.83,0,0,0,-2285034.82,-6435513.24,-8720548.07,91.94,ZIP,305299.72,-6360394.85,-20.83,0,0,0,-2578242.1,-6360394.85,-8938636.95,90.86,SPOT,300148.44,-6266513.58,-20.88,0,0,0,-3019841.71,-6266513.58,-9286355.29,89.33,MCTSX,373518.86,-7710471.93,-20.64,5040,89837,17.82,-4103187.7,-7620634.93,-11723822.62,111.17,varMCTSAgent10000,378863.32,-7718848.71,-20.37,5222.13,102056.39,19.54,-3787016.97,-7616792.32,-11403809.29,112.76,Mean Clearing Price,22.07063293
