Graph 0
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,311915.00800000003,314524.99333333335,304758.958,368391.3136666666,373933.3646666667,
1,305311.9793333334,311114.48900000006,302345.3983333334,373063.92433333327,373397.65766666667,
2,305439.80433333345,312411.29733333335,301116.2469999999,372755.57899999997,372808.50700000004,
3,307072.172,311350.0056666667,301523.317,372118.5926666666,373352.79633333336,
4,305633.38833333337,312245.13633333327,301763.9749999999,372438.0496666667,372770.41733333335,
5,306174.0853333333,310834.09733333334,301315.6556666667,373808.426,373322.30166666664,
6,308170.4033333333,311077.07366666663,301225.9983333333,371869.85866666667,372492.72599999997,
Graph 1
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-6518749.057333334,-6444823.806666667,-6304447.754999997,-7714778.637000001,-7658095.468,
1,-6434599.866666668,-6413348.578333335,-6278846.342333332,-7668275.844666665,-7651446.415666667,
2,-6435572.324333333,-6420503.810666666,-6263414.513666668,-7657147.841333331,-7664296.516666668,
3,-6454460.641999999,-6417080.653333333,-6262322.977666667,-7651466.594333333,-7671348.459,
4,-6431147.392333333,-6418195.585000002,-6263319.393999999,-7664349.336999999,-7661765.752333333,
5,-6432479.6790000005,-6400553.872333335,-6264856.914000001,-7677976.725999999,-7675948.918333334,
6,-6461084.232666668,-6414918.686333334,-6257788.556666666,-7647926.599666669,-7665136.077666665,
Graph 2
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-20.9,-20.49166666666667,-20.686666666666667,-20.94233333333333,-20.480666666666664,
1,-21.076000000000004,-20.615333333333336,-20.76733333333333,-20.556000000000004,-20.49133333333333,
2,-21.070666666666668,-20.552666666666667,-20.799666666666674,-20.543000000000003,-20.55933333333333,
3,-21.021333333333338,-20.612333333333336,-20.769666666666673,-20.562333333333335,-20.548,
4,-21.044333333333334,-20.55733333333333,-20.755999999999993,-20.57966666666666,-20.554333333333336,
5,-21.010666666666662,-20.592,-20.790999999999993,-20.540999999999997,-20.560333333333336,
6,-20.967333333333336,-20.622333333333337,-20.774999999999995,-20.566333333333333,-20.578333333333333,
Graph 3
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,13318.104666666668,4824.337666666667,
1,0.0,0.0,0.0,5356.044333333333,5149.875666666666,
2,0.0,0.0,0.0,5246.590333333333,4956.85,
3,0.0,0.0,0.0,5281.856666666666,5438.8330000000005,
4,0.0,0.0,0.0,5017.330333333332,5479.672333333333,
5,0.0,0.0,0.0,5369.959,5562.326,
6,0.0,0.0,0.0,5656.614333333333,5229.869333333335,
Graph 4
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,284627.456,98705.68633333335,
1,0.0,0.0,0.0,108241.85033333334,101421.87833333334,
2,0.0,0.0,0.0,103500.12666666668,98750.15833333334,
3,0.0,0.0,0.0,105305.84633333332,110443.51166666666,
4,0.0,0.0,0.0,99002.67533333333,109284.75766666667,
5,0.0,0.0,0.0,107747.63666666667,111400.06599999998,
6,0.0,0.0,0.0,112426.97366666669,104887.93533333336,
Graph 5
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,21.381666666666668,20.40333333333333,
