TS,HA,Error,
0.0,10.0,-0.005991390125299034,
0.0,9.0,0.8063975682604614,
0.0,8.0,-2.6959248097564554,
0.0,7.0,-0.9969903708937409,
0.0,6.0,-0.9969903708937409,
0.0,5.0,-0.9969903708937409,
0.0,4.0,-0.9969903708937409,
0.0,3.0,-0.708431747286383,
0.0,2.0,-1.0215512613371587,
0.0,1.0,-0.708431747286383,
0.0,0.0,-1.0215512613371587,
1.0,10.0,0.5538975857320203,
1.0,9.0,0.138682349706869,
1.0,8.0,-0.056185946221788186,
1.0,7.0,0.4431595598075617,
1.0,6.0,0.6018954933562313,
1.0,5.0,4.111895493356233,
1.0,4.0,0.5000267032067214,
1.0,3.0,0.8268047311807365,
1.0,2.0,-2.6831952688192686,
1.0,1.0,1.9101925159708202,
1.0,0.0,-2.370951555983659,
2.0,10.0,-5.244696355140714,
2.0,9.0,-6.6932140583102,
2.0,8.0,-5.954825245399137,
2.0,7.0,-5.093214058310199,
2.0,6.0,-1.0744598866193922,
2.0,5.0,-4.6347140583101964,
2.0,4.0,-2.125421441341077,
2.0,3.0,-3.8252981108676014,
2.0,2.0,-3.0097114289188713,
2.0,1.0,-4.693214058310199,
2.0,0.0,-2.125421441341077,
3.0,10.0,-0.5341568121870339,
3.0,9.0,-2.5833351004166927,
3.0,8.0,-2.828461865968854,
3.0,7.0,-1.3907277103656916,
3.0,6.0,-0.8874580084911132,
3.0,5.0,-0.8874580084911132,
3.0,4.0,-0.8874580084911132,
3.0,3.0,-0.8874580084911132,
3.0,2.0,-0.8874580084911132,
3.0,1.0,-0.8874580084911132,
3.0,0.0,-0.8874580084911132,
4.0,10.0,-0.17647152746165062,
4.0,9.0,-2.608335100416692,
4.0,8.0,-2.493951379766518,
4.0,7.0,4.507541991508885,
4.0,6.0,1.985627895024889,
4.0,5.0,-5.51987950137265,
4.0,4.0,-2.405421441341077,
4.0,3.0,-1.1136050951460943,
4.0,2.0,-0.9124580084911127,
4.0,1.0,-0.9124580084911127,
4.0,0.0,-0.9124580084911127,
5.0,10.0,-2.7682270782228064,
5.0,9.0,-1.4389513797665172,
5.0,8.0,2.0410486202334823,
5.0,7.0,-3.041277340057089,
5.0,6.0,1.1859638238637906,
5.0,5.0,-1.2403641467868471,
5.0,4.0,-0.4973562680822061,
5.0,3.0,-0.6574580084911128,
5.0,2.0,-0.6574580084911128,
5.0,1.0,-0.6574580084911128,
5.0,0.0,-0.6574580084911128,
6.0,10.0,0.007562601555616055,
6.0,9.0,-1.1434868137115082,
6.0,8.0,2.1391042285742365,
6.0,7.0,1.2725937592213157,
6.0,6.0,1.2725937592213157,
6.0,5.0,2.072593759221313,
6.0,4.0,0.6101206303776578,
6.0,3.0,0.13291324185071574,
6.0,2.0,0.13291324185071574,
6.0,1.0,0.13291324185071574,
6.0,0.0,0.13291324185071574,
7.0,10.0,1.227562601555615,
