Graph 0
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,310642.9553333333,182997.3243333333,288538.96133333334,451747.0200000001,607151.7416666667,
1,274456.4703333333,115465.53933333333,237989.4593333333,581985.8176666666,586326.1653333333,
2,278054.1263333333,122583.12533333336,236070.87066666668,580618.9656666667,580110.722,
3,279036.698,114919.67266666667,236152.50999999995,582157.5003333334,585455.1143333334,
4,283708.8833333335,118918.59333333331,234322.96133333325,579696.3729999999,582798.1943333335,
5,278761.3333333333,117849.91733333335,238625.22499999998,580166.1266666666,584783.6140000001,
6,281887.1203333333,115766.78899999998,233217.6176666667,582299.1113333332,584531.1273333333,
Graph 1
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-7767996.875666667,-4261699.544000001,-7066855.656,-1.1285149302E7,-1.5050286119333332E7,
1,-6884470.080999998,-2663959.173333333,-5806414.5336666675,-1.4406943143666668E7,-1.4443903248E7,
2,-6987566.801,-2800425.8963333326,-5748870.301666667,-1.4359117645333333E7,-1.4368861537333334E7,
3,-7045033.628999999,-2606152.7953333324,-5722313.829333331,-1.439183034166667E7,-1.4504922452666666E7,
4,-7145834.930000001,-2722819.034,-5715354.679666666,-1.4326598172333336E7,-1.4433555512000002E7,
5,-7015218.742333333,-2699691.0319999997,-5817099.731999999,-1.434811109566667E7,-1.4455313807999998E7,
6,-7068059.1850000005,-2625495.5130000007,-5685295.301333334,-1.4421294101333331E7,-1.4495523076333335E7,
Graph 2
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-24.995666666666672,-23.283000000000005,-24.48733333333333,-24.98366666666666,-24.79200000000001,
1,-25.108,-23.05533333333333,-24.401666666666674,-24.758333333333333,-24.639000000000006,
2,-25.13133333333333,-22.841,-24.355999999999998,-24.733,-24.772000000000002,
3,-25.246333333333336,-22.650999999999996,-24.231333333333335,-24.724333333333327,-24.778666666666666,
4,-25.203,-22.880666666666663,-24.394666666666673,-24.714000000000002,-24.766999999999996,
5,-25.16833333333334,-22.901000000000007,-24.378999999999998,-24.735333333333337,-24.723333333333336,
6,-25.080000000000005,-22.71466666666667,-24.384999999999998,-24.76600000000001,-24.801000000000002,
Graph 3
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,64546.15766666667,19562.819999999996,
1,0.0,0.0,0.0,19382.08966666667,19872.336,
2,0.0,0.0,0.0,19610.38333333334,20858.402666666665,
3,0.0,0.0,0.0,20626.20433333334,20126.265000000003,
4,0.0,0.0,0.0,21205.531333333336,21270.450000000004,
5,0.0,0.0,0.0,22127.60933333333,21089.58133333333,
6,0.0,0.0,0.0,19405.98633333333,21326.75266666667,
Graph 4
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,1866493.9480000003,515685.8123333333,
1,0.0,0.0,0.0,514584.9219999999,531460.1576666667,
2,0.0,0.0,0.0,526472.2156666667,554017.3690000002,
3,0.0,0.0,0.0,558851.989,540397.4800000001,
4,0.0,0.0,0.0,571939.3169999999,573823.632,
5,0.0,0.0,0.0,590806.7510000002,566901.0256666667,
6,0.0,0.0,0.0,515057.95766666665,567527.1533333332,
Graph 5
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,28.94066666666667,26.374000000000002,
1,0.0,0.0,0.0,26.541333333333334,26.70333333333333,
2,0.0,0.0,0.0,26.78066666666666,26.589999999999996,
3,0.0,0.0,0.0,27.12666666666667,26.893000000000004,
4,0.0,0.0,0.0,26.969999999999995,27.010666666666662,
5,0.0,0.0,0.0,26.777666666666665,26.89366666666666,
6,0.0,0.0,0.0,26.591666666666672,26.501999999999995,
Graph 6
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-3.0324384184333336E7,-4.104746498633333E7,-3.2193677956333328E7,-2.654181637166667E7,-1.2602933066666668E7,
1,-3.3385198753666673E7,-4.668965047366666E7,-3.642995639966667E7,-1.3801987815999998E7,-1.3689998495000001E7,
2,-3.3072423112E7,-4.6116599873E7,-3.6590656858666666E7,-1.3913969381000003E7,-1.4051610752333334E7,
3,-3.2999767057000004E7,-4.674337702733335E7,-3.6583000548E7,-1.3877537458000002E7,-1.3722077092666667E7,
4,-3.2589573722000003E7,-4.6427971256000005E7,-3.6736526088000014E7,-1.4064692842999997E7,-1.3870821308000002E7,
5,-3.3016143863333337E7,-4.649854513800001E7,-3.637692740866666E7,-1.4172377217333337E7,-1.3702189553333333E7,
6,-3.2756492587333325E7,-4.666455425500001E7,-3.682446846466667E7,-1.3700976282000002E7,-1.3753270355666667E7,
Graph 7
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-7767996.875666667,-4261699.544000001,-7066855.656,-9418655.353666665,-1.4534600306666667E7,
1,-6884470.080999998,-2663959.173333333,-5806414.5336666675,-1.3892358222E7,-1.3912443090666668E7,
2,-6987566.801,-2800425.8963333326,-5748870.301666667,-1.3832645430333337E7,-1.3814844168333331E7,
3,-7045033.628999999,-2606152.7953333324,-5722313.829333331,-1.3832978352333331E7,-1.3964524972666664E7,
