Graph 0
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,166798.34500000003,165822.0873333334,166529.24999999997,198922.97133333332,197645.01200000005,
1,166703.58366666667,165112.70000000004,166430.896,196439.48399999997,196248.81999999995,
2,166611.932,165351.37333333335,166411.85199999998,196240.58633333334,196314.32566666667,
3,166556.8123333333,165332.91333333336,166457.14366666667,196371.86633333334,196363.111,
4,166756.43433333334,165501.16133333335,166536.345,196585.77333333335,196216.97900000002,
5,166454.01733333335,165468.5423333334,166389.23966666666,196282.51933333336,196463.16766666668,
6,166693.46833333332,165346.89333333328,166492.80233333333,196496.84499999994,196517.807,
Graph 1
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-3243189.736666667,-3139585.9256666675,-3166979.624,-3854091.5033333334,-3775332.891999999,
1,-3256944.443333333,-3140581.0526666665,-3172202.605999999,-3764041.1056666663,-3758007.0836666664,
2,-3251012.7279999997,-3147559.346666667,-3172856.420333334,-3755166.3860000004,-3758904.1403333326,
3,-3252159.68,-3148247.604,-3172843.2390000005,-3759677.9656666666,-3763125.4813333335,
4,-3255362.9163333345,-3152837.2036666665,-3175905.751333333,-3770808.866666667,-3762019.398000001,
5,-3245327.7166666677,-3152441.347333333,-3172177.0456666667,-3761290.8426666674,-3764706.297,
6,-3252372.8806666667,-3147172.0426666667,-3174645.9596666666,-3764532.763333333,-3769474.8700000006,
Graph 2
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-19.443333333333335,-18.933,-19.017,-19.37433333333333,-19.102,
1,-19.538,-19.021666666666658,-19.061,-19.161999999999995,-19.148000000000003,
2,-19.511333333333333,-19.035000000000004,-19.066333333333333,-19.137,-19.147333333333336,
3,-19.524999999999995,-19.041333333333334,-19.061666666666667,-19.144666666666673,-19.163000000000004,
4,-19.52166666666666,-19.049999999999994,-19.07033333333333,-19.181666666666672,-19.172666666666665,
5,-19.496333333333332,-19.051,-19.06466666666666,-19.162666666666667,-19.16266666666667,
6,-19.511000000000006,-19.034000000000002,-19.067333333333327,-19.157999999999998,-19.181333333333328,
Graph 3
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,5062.396333333334,1990.6623333333334,
1,0.0,0.0,0.0,1855.0873333333334,1598.3376666666666,
2,0.0,0.0,0.0,1710.846,1674.4843333333333,
3,0.0,0.0,0.0,1762.6276666666668,1686.7269999999999,
4,0.0,0.0,0.0,1873.952,1620.989,
5,0.0,0.0,0.0,1771.1889999999999,1834.039,
6,0.0,0.0,0.0,1782.4473333333333,1773.4676666666667,
Graph 4
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,110931.59233333335,41805.47433333333,
1,0.0,0.0,0.0,39010.19233333333,33275.233333333344,
2,0.0,0.0,0.0,35239.98633333334,34462.95433333333,
3,0.0,0.0,0.0,35864.450333333334,36392.812999999995,
4,0.0,0.0,0.0,39870.374,35578.73633333333,
5,0.0,0.0,0.0,37246.539,38678.33833333333,
6,0.0,0.0,0.0,38276.47866666667,38127.852666666666,
Graph 5
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,0.0,0.0,0.0,21.924333333333337,20.91866666666667,
1,0.0,0.0,0.0,21.023000000000003,20.596,
2,0.0,0.0,0.0,20.57033333333333,20.55666666666667,
