TS,HA,Error,
0.0,10.0,-0.025723930622795876,
0.0,9.0,-1.7736802667994667,
0.0,8.0,-2.736585598995436,
0.0,7.0,-1.7736802667994667,
0.0,6.0,-4.165488665940561,
1.0,10.0,-0.15072393062279588,
1.0,9.0,-2.5105212814798676,
1.0,8.0,-3.2615855989954348,
1.0,7.0,-2.6501565018002182,
1.0,6.0,-2.7004886659405614,
1.0,5.0,1.494843498199785,
1.0,4.0,1.494843498199785,
1.0,3.0,1.494843498199785,
1.0,2.0,1.494843498199785,
1.0,1.0,1.494843498199785,
1.0,0.0,1.494843498199785,
2.0,10.0,-1.962000379230917,
2.0,9.0,-8.058890561464302,
3.0,10.0,-2.711001137692751,
3.0,9.0,-7.948890561464303,
4.0,10.0,-2.6420003792309172,
4.0,9.0,-8.068890561464304,
5.0,10.0,-1.987000379230917,
5.0,9.0,-9.062537566346407,
6.0,10.0,-0.15993858548184292,
6.0,9.0,0.7308041788002058,
6.0,8.0,0.7308041788002058,
6.0,7.0,0.7308041788002058,
6.0,6.0,0.7308041788002058,
6.0,5.0,0.7308041788002058,
6.0,4.0,0.7308041788002058,
6.0,3.0,0.7308041788002058,
6.0,2.0,0.7308041788002058,
6.0,1.0,0.7308041788002058,
6.0,0.0,0.7308041788002058,
7.0,10.0,-0.04940340759993944,
7.0,9.0,-0.030191715024592725,
7.0,8.0,0.776690867683115,
7.0,7.0,2.0601830643385526,
7.0,6.0,0.7653871826305902,
7.0,5.0,0.7653871826305902,
7.0,4.0,0.7653871826305902,
7.0,3.0,0.7653871826305902,
7.0,2.0,0.7653871826305902,
7.0,1.0,0.7653871826305902,
7.0,0.0,0.7653871826305902,
8.0,10.0,-0.8410766259708664,
8.0,9.0,-7.038890561464303,
9.0,10.0,-1.779227683206444,
9.0,9.0,-8.008890561464304,
10.0,10.0,-0.018051836022275225,
10.0,9.0,-6.136006573206247,
11.0,10.0,-1.820397453226951,
11.0,9.0,-4.738890561464302,
11.0,8.0,-2.3988905614643024,
12.0,10.0,-2.4145446606987995,
12.0,9.0,-8.159836595070555,
13.0,10.0,-1.1408627453834477,
13.0,9.0,-5.328890561464304,
14.0,10.0,-2.428439708539484,
15.0,10.0,-2.428439708539484,
16.0,10.0,-0.17078438235330007,
16.0,9.0,-17.458135094806238,
17.0,10.0,-4.3438048832870075,
17.0,9.0,-3.333890561464303,
18.0,10.0,-0.1014126590605251,
18.0,9.0,-5.4345340143213186,
20.0,10.0,0.17982576654707572,
20.0,9.0,2.2532068342174654,
20.0,8.0,1.0008611356495507,
20.0,7.0,2.8625320795955957,
20.0,6.0,0.32399872528427665,
20.0,5.0,-0.3050614736548525,
